CURSO ACADEMICO;C. NIVEL;NIVEL EDUCATIVO;C. NORMA;NORMA;C.EXPEDIENTE;EXPEDIENTE;C. ESTUDIO;ESTUDIO;C. CURRICULO;CURRICULO;C. REGIMEN IMP;REGIMEN IMP;REGIMEN MATRICULACION;CURSO;C. ITINERARIO;ITINERARIO
2.021;1011;Primer Ciclo de Educación Infantil;4;LOE;111;Educación Infantil;10110101;Educación Infantil (Primer Ciclo);G;General;PR;Presencial;Oficial;1;;
2.021;1011;Primer Ciclo de Educación Infantil;4;LOE;111;Educación Infantil;10110101;Educación Infantil (Primer Ciclo);G;General;PR;Presencial;Oficial;2;;
2.021;1011;Primer Ciclo de Educación Infantil;4;LOE;111;Educación Infantil;10110101;Educación Infantil (Primer Ciclo);G;General;PR;Presencial;Oficial;3;;
2.021;1012;Segundo Ciclo de Educación Infantil;4;LOE;111;Educación Infantil;10120101;Educación Infantil (Segundo Ciclo);G;General;PR;Presencial;Oficial;1;;
2.021;1012;Segundo Ciclo de Educación Infantil;4;LOE;111;Educación Infantil;10120101;Educación Infantil (Segundo Ciclo);G;General;PR;Presencial;Oficial;2;;
2.021;1012;Segundo Ciclo de Educación Infantil;4;LOE;111;Educación Infantil;10120101;Educación Infantil (Segundo Ciclo);G;General;PR;Presencial;Oficial;3;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;G;General;PR;Presencial;Oficial;1;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;G;General;PR;Presencial;Oficial;2;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;G;General;PR;Presencial;Oficial;3;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;G;General;PR;Presencial;Oficial;4;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;G;General;PR;Presencial;Oficial;5;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;G;General;PR;Presencial;Oficial;6;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;SI;General con Segundo Idioma;PR;Presencial;Oficial Segundo Idioma;5;;
2.021;1020;Educación Primaria;5;LOMCE;121;Educación Primaria;10200301;Educación Primaria;SI;General con Segundo Idioma;PR;Presencial;Oficial Segundo Idioma;6;;
2.021;1040;Educación Secundaria Obligatoria;5;LOMCE;131;Educación Secundaria Obligatoria;10400301;E.S.O.;G;General;PR;Presencial;Oficial;1;;
2.021;1040;Educación Secundaria Obligatoria;5;LOMCE;131;Educación Secundaria Obligatoria;10400301;E.S.O.;G;General;PR;Presencial;Oficial;2;;
2.021;1040;Educación Secundaria Obligatoria;5;LOMCE;131;Educación Secundaria Obligatoria;10400301;E.S.O.;G;General;PR;Presencial;Oficial;3;;
2.021;1040;Educación Secundaria Obligatoria;5;LOMCE;131;Educación Secundaria Obligatoria;10400301;E.S.O.;G;General;PR;Presencial;Oficial;4;EAC;Itinerario de Enseñanzas Académicas
2.021;1040;Educación Secundaria Obligatoria;5;LOMCE;131;Educación Secundaria Obligatoria;10400301;E.S.O.;G;General;PR;Presencial;Oficial;4;EEA;Itinerario de Enseñanzas Aplicadas
2.021;1040;Educación Secundaria Obligatoria;5;LOMCE;131;Educación Secundaria Obligatoria;10400301;E.S.O.;M;Programa de Mejora del Aprendizaje y Rendimiento (PMAR);PR;Presencial;P. Mejora del Aprendizaje y Rendimiento Educativo;2;;
2.021;1040;Educación Secundaria Obligatoria;5;LOMCE;131;Educación Secundaria Obligatoria;10400301;E.S.O.;M;Programa de Mejora del Aprendizaje y Rendimiento (PMAR);PR;Presencial;P. Mejora del Aprendizaje y Rendimiento Educativo;3;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;A;Adultos;NC;Nocturno;Nocturno - Modelo A;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;A;Adultos;NC;Nocturno;Nocturno - Modelo A;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;A;Adultos;NC;Nocturno;Nocturno - Modelo A;3;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;BB;Bachibac;PR;Presencial;Bachibac;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;BB;Bachibac;PR;Presencial;Bachibac;2;;
