CÓDIGO DEL CENTRO;DENOMINACIÓN DEL CENTRO;PROVINCIA;LOCALIDAD;CÓDIGO DEL CUERPO;DENOMINACIÓN DEL CUERPO;CÓDIGO DE LA ESPECIALIDAD;DENOMINACIÓN DE LA ESPECIALIDAD;PLANTILLA;LIBRES;BILINGUE
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;001;FILOSOFIA;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;002;GRIEGO;0;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;003;LATIN;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;004;LENGUA CASTELLANA Y LITERATURA;3;1;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;005;GEOGRAFIA E HISTORIA;3;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;006;MATEMATICAS;3;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;007;FISICA Y QUIMICA;2;1;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;008;BIOLOGIA Y GEOLOGIA;2;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;009;DIBUJO;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;010;FRANCES;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;011;INGLES;3;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;016;MUSICA;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;017;EDUCACION FISICA;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;018;ORIENTACIÓN EDUCATIVA;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;019;TECNOLOGIA;2;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;061;ECONOMIA;1;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0590;PROFESORES DE ENSEÑANZA SECUNDARIA;101;ADMINISTRACION DE EMPRESAS;3;0;
05000427;IES EULOGIO FLORENTINO SANZ;AVILA;ARÉVALO;0591;PROFESORES TECNICOS DE FORMACION PROFESIONAL;201;COCINA Y PASTELERIA;1;1;
