,Municipios,Total,CP,Provincia,new_col
1,Abajas,290,09001,Burgos,PP
2,Adrada de Haza,1970,09003,Burgos,C's
3,Aguas Cándidas,560,09006,Burgos,PP
4,Aguilar de Bureba,520,09007,Burgos,PP
5,Albillos,2210,09009,Burgos,PP
6,Alcocero de Mola,330,09010,Burgos,PP
7,Alfoz de Bricia,730,09011,Burgos,PCAS-TC-PACTO
8,Alfoz de Quintanadueñas,2163,09907,Burgos,Independientes Alfoz de Quintanadueñas
9,Alfoz de Santa Gadea,1050,09012,Burgos,PP
10,Altable,470,09013,Burgos,PP
11,Los Altos,1910,09014,Burgos,PSOE
12,Ameyugo,1160,09016,Burgos,PP
13,Anguix,1580,09017,Burgos,PSOE
14,Aranda de Duero,33084,09018,Burgos,PP
15,Arandilla,1580,09019,Burgos,PSOE
16,Arauzo de Miel,2880,09020,Burgos,PP
17,Arauzo de Salce,470,09021,Burgos,PSOE
18,Arauzo de Torre,710,09022,Burgos,Cs
19,Arcos,1816,09023,Burgos,PP
20,Arenillas de Riopisuerga,1760,09024,Burgos,AEAR
21,Arija,1180,09025,Burgos,PP
22,Arlanzón,4190,09026,Burgos,C's
23,Arraya de Oca,460,09027,Burgos,PSOE
24,Atapuerca,1820,09029,Burgos,PP
25,Los Ausines,1310,09030,Burgos,PP
26,Avellanosa de Muñó,1030,09032,Burgos,PSOE
27,Bahabón de Esgueva,800,09033,Burgos,PP
28,Los Balbases,3210,09034,Burgos,C's
29,Baños de Valdearados,3220,09035,Burgos,PP
30,Bañuelos de Bureba,310,09036,Burgos,Imagina
31,Barbadillo de Herreros,1120,09037,Burgos,AIBDH
32,Barbadillo del Mercado,1440,09038,Burgos,PSOE
33,Barbadillo del Pez,650,09039,Burgos,PP
34,Barrio de Muñó,320,09041,Burgos,PSOE
35,Los Barrios de Bureba,1860,09043,Burgos,GLB
36,Barrios de Colina,510,09044,Burgos,PP
37,Basconcillos del Tozo,2920,09045,Burgos,PP
38,Bascuñana,210,09046,Burgos,PP
39,Belbimbre,570,09047,Burgos,PP
40,Belorado,1754,09048,Burgos,VECINOS
41,Berberana,540,09050,Burgos,PCAS
42,Berlangas de Roa,1800,09051,Burgos,PP
43,Berzosa de Bureba,270,09052,Burgos,PP
44,Bozoó,1000,09054,Burgos,PP
45,Brazacorta,510,09055,Burgos,PSOE
46,Briviesca,6465,09056,Burgos,PSOE
47,Bugedo,1960,09057,Burgos,PP
48,Buniel,6050,09058,Burgos,C's
49,Burgos,174051,09059,Burgos,PSOE
50,Busto de Bureba,1380,09060,Burgos,PP
51,Cabañes de Esgueva,1660,09061,Burgos,PP
52,Cabezón de la Sierra,400,09062,Burgos,PSOE
53,Caleruega,4190,09064,Burgos,Cs
54,Campillo de Aranda,1690,09065,Burgos,PP
55,Campolara,560,09066,Burgos,VOX
56,Canicosa de la Sierra,4360,09067,Burgos,PP
57,Cantabrana,250,09068,Burgos,PSOE
58,Carazo,300,09070,Burgos,PP
59,Carcedo de Bureba,450,09071,Burgos,PP
60,Carcedo de Burgos,4480,09072,Burgos,PSOE
61,Cardeñadijo,1414,09073,Burgos,PSOE
62,Cardeñajimeno,1175,09074,Burgos,Agrupación de Electores Cardeñajimeno-San Medel. A.E.C.SM.
63,Cardeñuela Riopico,1090,09075,Burgos,Vox
64,Carrias,250,09076,Burgos,PSOE
65,Cascajares de Bureba,290,09077,Burgos,PP
66,Cascajares de la Sierra,320,09078,Burgos,PSOE
67,Castellanos de Castro,490,09079,Burgos,PP
68,Castil de Peones,250,09083,Burgos,PP
69,Castildelgado,330,09082,Burgos,PP
70,Castrillo de la Reina,1730,09084,Burgos,PP
71,Castrillo de la Vega,6480,09085,Burgos,PP
72,Castrillo de Riopisuerga,570,09088,Burgos,PP
73,Castrillo del Val,8140,09086,Burgos,PP
74,Castrillo Mota de Judíos,490,09090,Burgos,Cs
75,Castrojeriz,7580,09091,Burgos,PP
76,Cavia,2480,09063,Burgos,PP
77,Cayuela,1900,09093,Burgos,PP
78,Cebrecos,540,09094,Burgos,PP
79,Celada del Camino,1020,09095,Burgos,PP
80,Cerezo de Río Tirón,5320,09098,Burgos,PSOE
81,Cerratón de Juarros,520,09100,Burgos,PP
82,Ciadoncha,780,09101,Burgos,PP
83,Cillaperlata,350,09102,Burgos,PP
84,Cilleruelo de Abajo,2180,09103,Burgos,PSOE
85,Cilleruelo de Arriba,410,09104,Burgos,PP
86,Ciruelos de Cervera,1040,09105,Burgos,PP
87,Cogollos,5920,09108,Burgos,PP
88,Condado de Treviño,1416,09109,Burgos,PNV
89,Contreras,810,09110,Burgos,PP
90,Coruña del Conde,1050,09112,Burgos,PP
91,Covarrubias,5390,09113,Burgos,C's
92,Cubillo del Campo,1020,09114,Burgos,PP
93,Cubo de Bureba,1050,09115,Burgos,PP
94,La Cueva de Roa,1060,09117,Burgos,PSOE
95,Cuevas de San Clemente,420,09119,Burgos,PP
96,Encío,430,09120,Burgos,PP
97,Espinosa de Cervera,900,09122,Burgos,PP
98,Espinosa de los Monteros,1674,09124,Burgos,PP
99,Espinosa del Camino,460,09123,Burgos,PP
100,Estépar,6040,09125,Burgos,PSOE
101,Fontioso,500,09127,Burgos,PP
102,Frandovínez,970,09128,Burgos,PP
103,Fresneda de la Sierra Tirón,940,09129,Burgos,PSOE
104,Fresneña,690,09130,Burgos,PSOE
105,Fresnillo de las Dueñas,6950,09131,Burgos,PSOE
106,Fresno de Río Tirón,1780,09132,Burgos,PP
