1,Acebedo,1850,24001,León,C's
2,Algadefe,2830,24002,León,PSOE
3,Alija del Infantado,5940,24003,León,PP
4,Almanza,5960,24004,León,PP
5,La Antigua,3510,24005,León,PP
6,Ardón,5620,24006,León,PP
7,Arganza,7880,24007,León,PSOE
8,Astorga,10553,24008,León,PSOE
9,Balboa,2870,24009,León,PP
10,La Bañeza,10068,24010,León,PP
11,Barjas,1670,24011,León,PSOE
12,Los Barrios de Luna,3080,24012,León,PP
13,Bembibre,8455,24014,León,PSOE
14,Benavides,2426,24015,León,PSOE
15,Benuza,4640,24016,León,PSOE
16,Bercianos del Páramo,5410,24017,León,PP
17,Bercianos del Real Camino,1780,24018,León,PP
18,Berlanga del Bierzo,3470,24019,León,PSOE
19,Boca de Huérgano,4440,24020,León,UPL
20,Boñar,1819,24021,León,PSOE
21,Borrenes,3060,24022,León,PP
22,Brazuelo,3060,24023,León,PP
23,El Burgo Ranero,7250,24024,León,PSOE
24,Burón,2940,24025,León,PP
25,Bustillo del Páramo,1113,24026,León,PP
26,Cabañas Raras,1331,24027,León,PP
27,Cabreros del Río,4090,24028,León,UPL
28,Cabrillanes,7310,24029,León,UPL
29,Cacabelos,4888,24030,León,PSOE
30,Calzada del Coto,2170,24031,León,PP
31,Campazas,1130,24032,León,PP
32,Campo de Villavidel,2110,24033,León,PP
33,Camponaraya,4105,24034,León,PSOE
34,Candín,2550,24036,León,PP
35,Cármenes,3350,24037,León,PSOE
36,Carracedelo,3403,24038,León,PP
37,Carrizo,2266,24039,León,PSOE
38,Carrocera,4520,24040,León,PSOE
39,Carucedo,5110,24041,León,PSOE
40,Castilfalé,650,24042,León,PP
41,Castrillo de Cabrera,1080,24043,León,PSOE
42,Castrillo de la Valduerna,1490,24044,León,PSOE
43,Castrocalbón,9400,24046,León,PSOE
44,Castrocontrigo,7200,24047,León,UPL
45,Castropodame,1605,24049,León,PSOE
46,Castrotierra de Valmadrigal,1110,24050,León,PSOE
47,Cea,4020,24051,León,PP
48,Cebanico,1410,24052,León,PSOE
49,Cebrones del Río,4230,24053,León,PP
50,Chozas de Abajo,2596,24065,León,PSOE
51,Cimanes de la Vega,4410,24054,León,PP
52,Cimanes del Tejar,7370,24055,León,PP
53,Cistierna,3038,24056,León,PSOE
54,Congosto,1431,24057,León,PP
55,Corbillos de los Oteros,1930,24058,León,UPL
