1,Abusejo,1660,37001,Salamanca,PP
2,Agallas,1280,37002,Salamanca,PP
3,Ahigal de los Aceiteros,1140,37003,Salamanca,PP
4,Ahigal de Villarino,240,37004,Salamanca,PP
5,La Alameda de Gardón,670,37005,Salamanca,PP
6,La Alamedilla,1210,37006,Salamanca,PP
7,Alaraz,4290,37007,Salamanca,Cs
8,Alba de Tormes,5159,37008,Salamanca,PP
9,Alba de Yeltes,2160,37009,Salamanca,PP
10,La Alberca,1065,37010,Salamanca,PSOE
11,La Alberguería de Argañán,1070,37011,Salamanca,Cs
12,Alconada,1440,37012,Salamanca,PP
13,Aldea del Obispo,2520,37015,Salamanca,PSOE
14,Aldeacipreste,1000,37013,Salamanca,PSOE
15,Aldeadávila de la Ribera,1181,37014,Salamanca,PSOE
16,Aldealengua,6730,37016,Salamanca,PP
17,Aldeanueva de Figueroa,2440,37017,Salamanca,PP
18,Aldeanueva de la Sierra,1100,37018,Salamanca,PSOE
19,Aldearrodrigo,1470,37019,Salamanca,PP
20,Aldearrubia,5190,37020,Salamanca,PP
21,Aldeaseca de Alba,730,37021,Salamanca,PP
22,Aldeaseca de la Frontera,2530,37022,Salamanca,PP
23,Aldeatejada,2307,37023,Salamanca,PP
24,Aldeavieja de Tormes,1000,37024,Salamanca,PSOE
25,Aldehuela de la Bóveda,2790,37025,Salamanca,PSOE
26,Aldehuela de Yeltes,1930,37026,Salamanca,PSOE
27,Almenara de Tormes,2890,37027,Salamanca,PP
28,Almendra,1400,37028,Salamanca,PP
29,Anaya de Alba,1880,37029,Salamanca,PSOE
30,Añover de Tormes,910,37030,Salamanca,Cs
31,Arabayona de Mógica,3390,37031,Salamanca,PSOE
32,Arapiles,6690,37032,Salamanca,PSOE
33,Arcediano,960,37033,Salamanca,PP
34,El Arco,930,37034,Salamanca,PSOE
35,Armenteros,1920,37035,Salamanca,PSOE
36,La Atalaya,1080,37037,Salamanca,Cs
37,Babilafuente,9320,37038,Salamanca,PSOE
38,Bañobárez,2870,37039,Salamanca,PP
39,Barbadillo,4020,37040,Salamanca,PP
40,Barbalos,740,37041,Salamanca,PP
41,Barceo,440,37042,Salamanca,PP
42,Barruecopardo,4430,37044,Salamanca,PP
43,La Bastida,320,37045,Salamanca,PSOE
44,Béjar,12269,37046,Salamanca,PSOE
45,Beleña,2270,37047,Salamanca,PP
46,Bermellar,1330,37049,Salamanca,PSOE
47,Berrocal de Huebra,790,37050,Salamanca,PP
48,Berrocal de Salvatierra,830,37051,Salamanca,PP
49,Boada,2990,37052,Salamanca,PSOE
50,El Bodón,2560,37054,Salamanca,PSOE
51,Bogajo,1340,37055,Salamanca,PP
52,La Bouza,550,37056,Salamanca,PP
53,Bóveda del Río Almar,2210,37057,Salamanca,PP
54,Brincones,530,37058,Salamanca,PSOE
55,Buenamadre,1190,37059,Salamanca,PP
56,Buenavista,3650,37060,Salamanca,PP
57,El Cabaco,2230,37061,Salamanca,PP
58,La Cabeza de Béjar,600,37063,Salamanca,PP
59,Cabeza del Caballo,2570,37065,Salamanca,PP
60,Cabezabellosa de la Calzada,750,37062,Salamanca,PP
61,Cabrerizos,4284,37067,Salamanca,PP
62,Cabrillas,3550,37068,Salamanca,PP
63,Calvarrasa de Abajo,1169,37069,Salamanca,PP
64,Calvarrasa de Arriba,5940,37070,Salamanca,PSOE
65,La Calzada de Béjar,910,37071,Salamanca,PSOE
66,Calzada de Don Diego,1480,37072,Salamanca,PP
67,Calzada de Valdunciel,6980,37073,Salamanca,PP
68,Campillo de Azaba,1550,37074,Salamanca,PP
69,El Campo de Peñaranda,2490,37077,Salamanca,PSOE
70,Candelario,8740,37078,Salamanca,PSOE
71,Canillas de Abajo,800,37079,Salamanca,PP
72,Cantagallo,2670,37080,Salamanca,PP
73,Cantalapiedra,9230,37081,Salamanca,PSOE
74,Cantalpino,8210,37082,Salamanca,PP
75,Cantaracillo,1970,37083,Salamanca,PP
76,Carbajosa de la Sagrada,7368,37085,Salamanca,PP
77,Carpio de Azaba,1160,37086,Salamanca,PP
78,Carrascal de Barregas,1295,37087,Salamanca,PP
79,Carrascal del Obispo,1940,37088,Salamanca,PP
80,Casafranca,610,37089,Salamanca,PP
81,Las Casas del Conde,640,37090,Salamanca,PSOE
82,Casillas de Flores,1910,37091,Salamanca,PP
83,Castellanos de Moriscos,2809,37092,Salamanca,PP
84,Castellanos de Villiquera,6530,37185,Salamanca,PP
85,Castillejo de Martín Viejo,2110,37096,Salamanca,PP
86,Castraz,380,37097,Salamanca,PP
87,Cepeda,2930,37098,Salamanca,PP
88,Cereceda de la Sierra,670,37099,Salamanca,PSOE
89,Cerezal de Peñahorcada,640,37100,Salamanca,Cs
90,Cerralbo,1310,37101,Salamanca,PP
91,El Cerro,3970,37102,Salamanca,PSOE
92,Cespedosa de Tormes,5180,37103,Salamanca,PP
93,Chagarcía Medianero,640,37114,Salamanca,PP
94,Cilleros de la Bastida,210,37104,Salamanca,PSOE
95,Cipérez,2550,37106,Salamanca,PP
96,Ciudad Rodrigo,12065,37107,Salamanca,PP
