1,Abades,8350,40001,Segovia,PP
2,Adrada de Pirón,390,40002,Segovia,PP
3,Adrados,1250,40003,Segovia,PP
4,Aguilafuente,5570,40004,Segovia,PSOE
5,Alconada de Maderuelo,220,40005,Segovia,PP
6,Aldea Real,2810,40012,Segovia,PSOE
7,Aldealcorvo,190,40006,Segovia,PP
8,Aldealengua de Pedraza,800,40007,Segovia,PSOE
9,Aldealengua de Santa María,610,40008,Segovia,PSOE
10,Aldeanueva de la Serrezuela,420,40009,Segovia,PP
11,Aldeanueva del Codonal,1160,40010,Segovia,PP
12,Aldeasoña,620,40013,Segovia,1979-2015
13,Aldehorno,520,40014,Segovia,PP
14,Aldehuela del Codonal,240,40015,Segovia,PP
15,Aldeonte,560,40016,Segovia,PP
16,Anaya,1220,40017,Segovia,PP
17,Añe,680,40018,Segovia,PP
18,Arahuetes,280,40019,Segovia,PP
19,Arcones,1710,40020,Segovia,PSOE
20,Arevalillo de Cega,170,40021,Segovia,PP
21,Armuña,2460,40022,Segovia,Indep.
22,Ayllón,1153,40024,Segovia,PSOE
23,Barbolla,1390,40025,Segovia,PP
24,Basardilla,1680,40026,Segovia,IU
25,Bercial,1040,40028,Segovia,PP
26,Bercimuel,200,40029,Segovia,PSOE
27,Bernardos,4860,40030,Segovia,PSOE
28,Bernuy de Porreros,7880,40031,Segovia,PSOE
29,Boceguillas,7010,40032,Segovia,PSOE
30,Brieva,940,40033,Segovia,PP
31,Caballar,760,40034,Segovia,PP
32,Cabañas de Polendos,1840,40035,Segovia,Centrados
33,Cabezuela,6400,40036,Segovia,PSOE
34,Calabazas de Fuentidueña,270,40037,Segovia,PP
35,Campo de San Pedro,2500,40039,Segovia,PP
36,Cantalejo,3522,40040,Segovia,PP
37,Cantimpalos,1346,40041,Segovia,PSOE
38,Carabias,500,40161,Segovia,PP
39,Carbonero el Mayor,2502,40043,Segovia,PP
40,Carrascal del Río,1500,40044,Segovia,PSOE
41,Casla,1590,40045,Segovia,PSOE
42,Castillejo de Mesleón,1200,40046,Segovia,PSOE
43,Castro de Fuentidueña,470,40047,Segovia,PP
44,Castrojimeno,320,40048,Segovia,PSOE
45,Castroserna de Abajo,330,40049,Segovia,PP
46,Castroserracín,450,40051,Segovia,PP
47,Cedillo de la Torre,890,40052,Segovia,PSOE
48,Cerezo de Abajo,1150,40053,Segovia,PSOE
49,Cerezo de Arriba,1340,40054,Segovia,PSOE
50,Chañe,7080,40065,Segovia,PP
51,Cilleruelo de San Mamés,340,40055,Segovia,PSOE
52,Cobos de Fuentidueña,340,40056,Segovia,PP
53,Coca,1726,40057,Segovia,PSOE
54,Codorniz,3220,40058,Segovia,PP
55,Collado Hermoso,1290,40059,Segovia,PP
56,Condado de Castilnovo,850,40060,Segovia,PP
57,Corral de Ayllón,710,40061,Segovia,PP
58,Cozuelos de Fuentidueña,1200,40902,Segovia,PP
59,Cubillo,760,40062,Segovia,PSOE
60,Cuéllar,962,40063,Segovia,PSOE
61,Cuevas de Provanco,1270,40905,Segovia,PP
62,Domingo García,320,40068,Segovia,PP
63,Donhierro,850,40069,Segovia,PP
64,Duruelo,1900,40070,Segovia,PSOE
65,Encinas,400,40071,Segovia,PSOE
66,Encinillas,3190,40072,Segovia,PSOE
67,Escalona del Prado,4980,40073,Segovia,PP
68,Escarabajosa de Cabezas,2890,40074,Segovia,PP
69,Escobar de Polendos,1680,40075,Segovia,PP
