1,Abejar,2730,42001,Soria,PSOE
2,Adradas,550,42003,Soria,PPSO
3,Ágreda,3006,42004,Soria,PSOE
4,Alconaba,1960,42006,Soria,PSOE
5,Alcubilla de Avellaneda,1160,42007,Soria,PP
6,Alcubilla de las Peñas,510,42008,Soria,PP
7,Aldealafuente,860,42009,Soria,PSOE
8,Aldealices,290,42010,Soria,PP
9,Aldealpozo,170,42011,Soria,PP
10,Aldealseñor,320,42012,Soria,Agrupación de Vecinos de Aldealseñor - AVA
11,Aldehuela de Periáñez,330,42013,Soria,Agrupación de Electores de Aldehuela de Periáñez
12,Las Aldehuelas,560,42014,Soria,Indep.
13,Alentisque,260,42015,Soria,PP
14,Aliud,220,42016,Soria,PP
15,Almajano,1880,42017,Soria,PSOE
16,Almaluez,1240,42018,Soria,PPSO
17,Almarza,6400,42019,Soria,PP
18,Almazán,5411,42020,Soria,No adscrito 
19,Almazul,650,42021,Soria,PP
20,Almenar de Soria,2330,42022,Soria,PP
21,Alpanseque,540,42023,Soria,PP
22,Arancón,840,42024,Soria,PP
23,Arcos de Jalón,1477,42025,Soria,PP
24,Arenillas,470,42026,Soria,PSOE
25,Arévalo de la Sierra,730,42027,Soria,PP
26,Ausejo de la Sierra,910,42028,Soria,PP
27,Baraona,1270,42029,Soria,PP
28,Barca,1080,42030,Soria,Cs
29,Barcones,210,42031,Soria,PSOE
30,Bayubas de Abajo,1350,42032,Soria,PP
31,Bayubas de Arriba,610,42033,Soria,PP
32,Beratón,380,42034,Soria,PSOE
33,Berlanga de Duero,8720,42035,Soria,PSOE
34,Blacos,410,42036,Soria,Cs
35,Bliecos,290,42037,Soria,PSOE
36,Borjabad,330,42038,Soria,PPSO
37,Borobia,2420,42039,Soria,PSOE
38,Buberos,290,42041,Soria,PSOE
39,Buitrago,720,42042,Soria,PP
40,Burgo de Osma-Ciudad de Osma,5034,42043,Soria,PPSo
41,Cabrejas del Campo,480,42044,Soria,PP
42,Cabrejas del Pinar,3460,42045,Soria,PP
43,Calatañazor,490,42046,Soria,PSOE
44,Caltojar,570,42048,Soria,PP
45,Candilichera,1000,42049,Soria,PP
46,Cañamaque,320,42050,Soria,PP
47,Carabantes,150,42051,Soria,PP
48,Caracena,140,42052,Soria,PP
49,Carrascosa de Abajo,180,42053,Soria,Comisión gestora
50,Carrascosa de la Sierra,170,42054,Soria,Indep.
51,Casarejos,1560,42055,Soria,PP
52,Castilfrío de la Sierra,350,42056,Soria,PP
53,Castillejo de Robledo,1040,42058,Soria,PP
54,Castilruiz,1530,42057,Soria,PP
55,Centenera de Andaluz,210,42059,Soria,PP
56,Cerbón,300,42060,Soria,PP
57,Cidones,3020,42061,Soria,PP
58,Cigudosa,200,42062,Soria,PP
59,Cihuela,470,42063,Soria,PP
