,Municipios,Total,CP,Provincia,new_col
1,Abajas,290,9001,Burgos,PP
2,Adrada de Haza,1970,9003,Burgos,C's
3,Aguas Cándidas,560,9006,Burgos,PP
4,Aguilar de Bureba,520,9007,Burgos,PP
5,Albillos,2210,9009,Burgos,PP
6,Alcocero de Mola,330,9010,Burgos,PP
7,Alfoz de Bricia,730,9011,Burgos,PCAS-TC-PACTO
8,Alfoz de Quintanadueñas,2163,9907,Burgos,Independientes Alfoz de Quintanadueñas
9,Alfoz de Santa Gadea,1050,9012,Burgos,PP
10,Altable,470,9013,Burgos,PP
11,Los Altos,1910,9014,Burgos,PSOE
12,Ameyugo,1160,9016,Burgos,PP
13,Anguix,1580,9017,Burgos,PSOE
14,Aranda de Duero,33084,9018,Burgos,PP
15,Arandilla,1580,9019,Burgos,PSOE
16,Arauzo de Miel,2880,9020,Burgos,PP
17,Arauzo de Salce,470,9021,Burgos,PSOE
18,Arauzo de Torre,710,9022,Burgos,Cs
19,Arcos,1816,9023,Burgos,PP
20,Arenillas de Riopisuerga,1760,9024,Burgos,AEAR
21,Arija,1180,9025,Burgos,PP
22,Arlanzón,4190,9026,Burgos,C's
23,Arraya de Oca,460,9027,Burgos,PSOE
24,Atapuerca,1820,9029,Burgos,PP
25,Los Ausines,1310,9030,Burgos,PP
26,Avellanosa de Muñó,1030,9032,Burgos,PSOE
27,Bahabón de Esgueva,800,9033,Burgos,PP
28,Los Balbases,3210,9034,Burgos,C's
29,Baños de Valdearados,3220,9035,Burgos,PP
30,Bañuelos de Bureba,310,9036,Burgos,Imagina
31,Barbadillo de Herreros,1120,9037,Burgos,AIBDH
32,Barbadillo del Mercado,1440,9038,Burgos,PSOE
33,Barbadillo del Pez,650,9039,Burgos,PP
34,Barrio de Muñó,320,9041,Burgos,PSOE
35,Los Barrios de Bureba,1860,9043,Burgos,GLB
36,Barrios de Colina,510,9044,Burgos,PP
37,Basconcillos del Tozo,2920,9045,Burgos,PP
38,Bascuñana,210,9046,Burgos,PP
39,Belbimbre,570,9047,Burgos,PP
40,Belorado,1754,9048,Burgos,VECINOS
41,Berberana,540,9050,Burgos,PCAS
42,Berlangas de Roa,1800,9051,Burgos,PP
43,Berzosa de Bureba,270,9052,Burgos,PP
44,Bozoó,1000,9054,Burgos,PP
45,Brazacorta,510,9055,Burgos,PSOE
46,Briviesca,6465,9056,Burgos,PSOE
47,Bugedo,1960,9057,Burgos,PP
48,Buniel,6050,9058,Burgos,C's
49,Burgos,174051,9059,Burgos,PSOE
50,Busto de Bureba,1380,9060,Burgos,PP
51,Cabañes de Esgueva,1660,9061,Burgos,PP
52,Cabezón de la Sierra,400,9062,Burgos,PSOE
53,Caleruega,4190,9064,Burgos,Cs
54,Campillo de Aranda,1690,9065,Burgos,PP
55,Campolara,560,9066,Burgos,VOX
56,Canicosa de la Sierra,4360,9067,Burgos,PP
57,Cantabrana,250,9068,Burgos,PSOE
58,Carazo,300,9070,Burgos,PP
59,Carcedo de Bureba,450,9071,Burgos,PP
60,Carcedo de Burgos,4480,9072,Burgos,PSOE
61,Cardeñadijo,1414,9073,Burgos,PSOE
62,Cardeñajimeno,1175,9074,Burgos,Agrupación de Electores Cardeñajimeno-San Medel. A.E.C.SM.
63,Cardeñuela Riopico,1090,9075,Burgos,Vox
64,Carrias,250,9076,Burgos,PSOE
65,Cascajares de Bureba,290,9077,Burgos,PP
66,Cascajares de la Sierra,320,9078,Burgos,PSOE
67,Castellanos de Castro,490,9079,Burgos,PP
68,Castil de Peones,250,9083,Burgos,PP
69,Castildelgado,330,9082,Burgos,PP
70,Castrillo de la Reina,1730,9084,Burgos,PP
71,Castrillo de la Vega,6480,9085,Burgos,PP
72,Castrillo de Riopisuerga,570,9088,Burgos,PP
73,Castrillo del Val,8140,9086,Burgos,PP
74,Castrillo Mota de Judíos,490,9090,Burgos,Cs
75,Castrojeriz,7580,9091,Burgos,PP
76,Cavia,2480,9063,Burgos,PP
77,Cayuela,1900,9093,Burgos,PP
78,Cebrecos,540,9094,Burgos,PP
