1,Abezames,580,49002,Zamora,PSOE
2,Alcañices,1042,49003,Zamora,PP
3,Alcubilla de Nogales,1170,49004,Zamora,PSOE
4,Alfaraz de Sayago,1370,49005,Zamora,Ahora Decide
5,Algodre,1350,49006,Zamora,PP
6,Almaraz de Duero,4070,49007,Zamora,Ahora Decide
7,Almeida de Sayago,4230,49008,Zamora,PSOE
8,Andavías,4490,49009,Zamora,PP
9,Arcenillas,4290,49010,Zamora,ADEIZA
10,Arcos de la Polvorosa,2180,49011,Zamora,PP
11,Argañín,720,49012,Zamora,PP
12,Argujillo,2240,49013,Zamora,PSOE
13,Arquillinos,1200,49014,Zamora,PSOE
14,Arrabalde,2180,49015,Zamora,PP
15,Aspariegos,2340,49016,Zamora,PP
16,Asturianos,2600,49017,Zamora,PP
17,Ayoó de Vidriales,2870,49018,Zamora,PSOE
18,Barcial del Barco,2410,49019,Zamora,PP
19,Belver de los Montes,2630,49020,Zamora,PSOE
20,Benavente,17523,49021,Zamora,PSOE
21,Benegiles,3020,49022,Zamora,PP
22,Bermillo de Sayago,1008,49023,Zamora,PP
23,La Bóveda de Toro,6920,49024,Zamora,PP
24,Bretó,1600,49025,Zamora,PSOE
25,Bretocino,2070,49026,Zamora,PP
26,Brime de Sog,1280,49027,Zamora,Ahora Decide
27,Brime de Urz,980,49028,Zamora,PP
28,Burganes de Valverde,6390,49029,Zamora,PP
29,Bustillo del Oro,810,49030,Zamora,PP
30,Cabañas de Sayago,1520,49031,Zamora,PP
31,Calzadilla de Tera,2890,49032,Zamora,
32,Camarzana de Tera,7670,49033,Zamora,PP
33,Cañizal,4280,49034,Zamora,PP
34,Cañizo,2200,49035,Zamora,ADEIZA
35,Carbajales de Alba,4910,49036,Zamora,PP
36,Carbellino,1750,49037,Zamora,PP
37,Casaseca de Campeán,1030,49038,Zamora,Ahora Decide
38,Casaseca de las Chanas,3730,49039,Zamora,PP
39,Castrillo de la Guareña,1160,49040,Zamora,Ahora Decide
40,Castrogonzalo,4560,49041,Zamora,PSOE
41,Castronuevo,2200,49042,Zamora,PP
