1,Adanero,1960,05001,Ávila,PSOE
2,La Adrada,2757,05002,Ávila,PSOE
3,Albornos,1720,05005,Ávila,PP
4,Aldeanueva de Santa Cruz,1130,05007,Ávila,PP
5,Aldeaseca,2190,05008,Ávila,PSOE
6,La Aldehuela,1470,05010,Ávila,PP
7,Amavida,1280,05012,Ávila,PSOE
8,El Arenal,9430,05013,Ávila,AVEAL
9,Arenas de San Pedro,6434,05014,Ávila,PP
10,Arevalillo,670,05015,Ávila,PSOE
11,Arévalo,7881,05016,Ávila,ARÉVALO DECIDE
12,Aveinte,820,05017,Ávila,PP
13,Avellaneda,260,05018,Ávila,PP
14,Ávila,57949,05019,Ávila,XAV
15,El Barco de Ávila,2298,05021,Ávila,PSOE
16,El Barraco,1973,05022,Ávila,PP
17,Barromán,1810,05023,Ávila,PP
18,Becedas,1830,05024,Ávila,PP
19,Becedillas,770,05025,Ávila,PP
20,Bercial de Zapardiel,1950,05026,Ávila,PP
21,Las Berlanas,3340,05027,Ávila,PP
22,Bernuy-Zapardiel,900,05029,Ávila,PP
23,Berrocalejo de Aragona,490,05030,Ávila,Agrupacion Independiente de Electores de Berrocalejo de Aragona
24,Blascomillán,1810,05033,Ávila,PP
25,Blasconuño de Matacabras,140,05034,Ávila,PP
26,Blascosancho,1010,05035,Ávila,PP
27,El Bohodón,1170,05036,Ávila,PP
28,Bohoyo,2310,05037,Ávila,PP
29,Bonilla de la Sierra,1310,05038,Ávila,PSOE
30,Brabos,420,05039,Ávila,PSOE
31,Bularros,630,05040,Ávila,PP
32,Burgohondo,1231,05041,Ávila,PP
33,Cabezas de Alambre,1600,05042,Ávila,PP
34,Cabezas del Pozo,680,05043,Ávila,PSOE
35,Cabezas del Villar,2570,05044,Ávila,PP
36,Cabizuela,800,05045,Ávila,CIC
37,Canales,390,05046,Ávila,PP
38,Candeleda,5049,05047,Ávila,PSOE
39,Cantiveros,1000,05048,Ávila,PP
40,Cardeñosa,4270,05049,Ávila,PSOE
41,La Carrera,1640,05051,Ávila,PP
42,Casas del Puerto,830,05052,Ávila,PP
43,Casasola,680,05053,Ávila,PP
44,Casavieja,1422,05054,Ávila,PSOE
45,Casillas,6460,05055,Ávila,PP
46,Castellanos de Zapardiel,940,05056,Ávila,PP
47,Cebreros,3246,05057,Ávila,PSOE
48,Cepeda la Mora,700,05058,Ávila,PP
49,Chamartín,680,05067,Ávila,XAV
50,Cillán,820,05059,Ávila,TC
51,Cisla,1040,05060,Ávila,PP
52,La Colilla,3410,05061,Ávila,PSOE
53,Collado de Contreras,1580,05062,Ávila,PP
54,Collado del Mirón,290,05063,Ávila,PP
55,Constanzana,1070,05064,Ávila,PP
56,Crespos,4940,05065,Ávila,XAV
57,Cuevas del Valle,5140,05066,Ávila,UCIN
58,Diego del Carpio,1170,05903,Ávila,PP
59,Donjimeno,720,05069,Ávila,PP
60,Donvidas,300,05070,Ávila,PSOE
61,Espinosa de los Caballeros,1090,05072,Ávila,PP
62,Flores de Ávila,2870,05073,Ávila,PP
63,Fontiveros,7340,05074,Ávila,PP
64,Fresnedilla,1100,05075,Ávila,PP
65,El Fresno,5890,05076,Ávila,PP
66,Fuente el Saúz,1570,05077,Ávila,PP
67,Fuentes de Año,960,05078,Ávila,PP
68,Gallegos de Altamiros,630,05079,Ávila,PP
69,Gallegos de Sobrinos,360,05080,Ávila,PP
70,Garganta del Villar,420,05081,Ávila,PP
