,nombre,location,distance,Entidad
0,Supermercados Dia,"{'type': 'Point', 'coordinates': ['41.5727379', '-3.2023737']}",5.944961752144978,supermercado
1,Carrefour Express CEPSA,"{'type': 'Point', 'coordinates': ['41.5739102', '-3.1120088']}",5.991140551507386,supermercado
2,Carrefour Express CEPSA,"{'type': 'Point', 'coordinates': ['41.5833865', '-3.075808']}",8.853417861591737,supermercado
3,EROSKI,"{'type': 'Point', 'coordinates': ['41.5858272', '-3.0668635']}",9.599588374055074,supermercado
4,Supermercados Dia,"{'type': 'Point', 'coordinates': ['41.588824', '-3.0653908']}",9.905739472495615,supermercado
5,Polideportivo Municipal,"{'type': 'Point', 'coordinates': ['41.5701777', '-3.1988744']}",5.539948855156102,polideportivo
6,Pista De Fronton De Quintanas,"{'type': 'Point', 'coordinates': ['41.5730264', '-3.2005939']}",5.876345674869078,polideportivo
7,Polideportivo Municipal,"{'type': 'Point', 'coordinates': ['41.5850326', '-3.0763023']}",8.94258523751869,polideportivo
8,Fronton Sanestebeño,"{'type': 'Point', 'coordinates': ['41.5852843', '-3.0757746']}",8.994011109746092,polideportivo
9,Polideportivo Municipal Burgo de Osma,"{'type': 'Point', 'coordinates': ['41.5069671', '-2.9809407']}",14.889859106959884,polideportivo
10,Antiguo Hospital de San Agustín,"{'type': 'Point', 'coordinates': ['41.5870719', '-3.0676038']}",9.639552373328572,hospital
11,Antiguo Hospital de San Agustín,"{'type': 'Point', 'coordinates': ['40.6195851', '-3.1521937']}",101.44811800620091,hospital
12,Hospital Universitari de Guadalajara,"{'type': 'Point', 'coordinates': ['40.6548293', '-4.0007599']}",120.48904459396591,hospital
13,General Hospital Villalba,"{'type': 'Point', 'coordinates': ['40.4650902', '-3.435013']}",120.9103159752642,hospital
14,Torrejón University Hospital,"{'type': 'Point', 'coordinates': ['40.4195247', '-3.6713438']}",131.03165784095205,hospital
15,Health center El Burgo de Osma,"{'type': 'Point', 'coordinates': ['41.5716638', '-3.2006643']}",5.762218765944928,centro de salud
16,Centro de Salud,"{'type': 'Point', 'coordinates': ['41.5877998', '-3.070235']}",9.525034919164726,centro de salud
17,Centro de Salud de San Esteban de Gormaz,"{'type': 'Point', 'coordinates': ['41.5892109', '-3.0642916']}",10.003529029190174,centro de salud
18,Health center El Burgo de Osma,"{'type': 'Point', 'coordinates': ['41.589484', '-3.0629524']}",10.10872201075593,centro de salud
19,Gerencia de Atención Primaria de Soria-Área VIII,"{'type': 'Point', 'coordinates': ['41.634065', '-3.2121246']}",12.288464699292634,centro de salud
20,Estación de Servicio Repsol,"{'type': 'Point', 'coordinates': ['41.5689831', '-3.192536']}",5.11289842248242,gasolinera
21,Estación de Servicio Repsol,"{'type': 'Point', 'coordinates': ['41.5742285', '-3.1118239']}",6.0284569470481,gasolinera
22,Estación de servicio Cepsa,"{'type': 'Point', 'coordinates': ['41.5848142', '-3.0742883']}",9.052768263648222,gasolinera
23,Estación de Servicio Repsol,"{'type': 'Point', 'coordinates': ['41.5870349', '-3.058292']}",10.245004851027133,gasolinera
24,Gasolinera Autoservicio Gashome,"{'type': 'Point', 'coordinates': ['41.59925', '-3.3532837']}",18.006430696741514,gasolinera
