,Comunidad Autónoma,Provincia,Municipio,Código ESP,Entidad Singular de Población,Cobertura ≥ 30Mbps,Cobertura redes fijas ≥ 100Mbps,Cobertura 3G HSPA,Cobertura 4G LTE,coord,Weather_info,population
1704,Castilla y León,Ávila,Adanero,5001000100,ADANERO,0.88,0.0,1.0,1.0,"(40.945833333333, 4.6066666666667)","En Adanero, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",196 hab.(2021)
1705,Castilla y León,Ávila,Adanero,5001000200,ESTACIÓN (LA),0.0,0.0,1.0,1.0,,"En Estación la Piedad, la temporada de lluvia es nublada, la temporada seca es parcialmente nublada y es caliente durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 7 °C a 32 °C y rara vez baja a menos de 4 °C o sube a más de 35 °C.",
1706,Castilla y León,Ávila,"Adrada, La",5002000100,ADRADA (LA),1.0,0.3,1.0,1.0,"(40.299166666667, 4.635)","En Sotillo de la Adrada, los veranos son cortos, cálidos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 32 °C y rara vez baja a menos de -4 °C o sube a más de 36 °C.",2757 hab.(2021)
1707,Castilla y León,Ávila,Albornos,5005000100,ALBORNOS,1.0,0.0,1.0,1.0,"(40.838611111111, 4.8813888888889)","En Albornos, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",172 hab.(2021)
1708,Castilla y León,Ávila,Aldeanueva de Santa Cruz,5007000100,ALDEANUEVA DE SANTA CRUZ,0.52,0.0,1.0,1.0,"(40.381666666667, 5.4194444444444)","En Aldeanueva de Santa Cruz, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -7 °C o sube a más de 32 °C.",113 hab.(2021)
1709,Castilla y León,Ávila,Aldeaseca,5008000100,ALDEASECA,1.0,0.0,1.0,1.0,"(41.049444444444, 4.8175)","En Aldeaseca de la Frontera, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",219 hab.(2021)
1710,Castilla y León,Ávila,"Aldehuela, La",5010000100,ALDEHUELA (LA),1.0,0.0,0.97,0.96,"(40.410833333333, 5.4091666666667)","En Aldehuela de la Bóveda, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",147 hab.(2021)
1711,Castilla y León,Ávila,"Aldehuela, La",5010000200,MOLINOS (LOS),0.0,0.0,1.0,1.0,,"En Los Molinos, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 29 °C y rara vez baja a menos de -7 °C o sube a más de 33 °C.",
1712,Castilla y León,Ávila,"Aldehuela, La",5010000300,NAVAS (LAS),0.0,0.0,0.91,0.99,,"En Las Navas del Marqués, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 28 °C y rara vez baja a menos de -7 °C o sube a más de 32 °C.",
1713,Castilla y León,Ávila,"Aldehuela, La",5010000400,REHOYO (EL),0.0,0.0,1.0,0.99,,"En El Recodo, la temporada de lluvia es tórrida, opresiva y parcialmente nublada y la temporada seca es caliente y mayormente despejada. Durante el transcurso del año, la temperatura generalmente varía de 10 °C a 36 °C y rara vez baja a menos de 7 °C o sube a más de 39 °C.",
1714,Castilla y León,Ávila,"Aldehuela, La",5010000500,SOLANAS DEL CARRASCAL,0.0,0.0,0.97,0.99,,Not found,
1715,Castilla y León,Ávila,"Aldehuela, La",5010000600,SOLANILLAS (LAS),0.0,0.0,0.94,0.97,,"En Solanillos del Extremo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",
1716,Castilla y León,Ávila,Amavida,5012000100,AMAVIDA,0.0,0.0,1.0,1.0,"(40.573333333333, 5.0666666666667)","En Carlota Amalia, los veranos son largos, cálidos, opresivos y mayormente nublados; los inviernos son calurosos, bochornosos, secos y mayormente despejados y está ventoso durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 23 °C a 32 °C y rara vez baja a menos de 22 °C o sube a más de 34 °C.",128 hab.(2021)
1717,Castilla y León,Ávila,Amavida,5012000200,PASCUAL MUÑOZ,0.0,0.0,1.0,1.0,"(40.575499, 5.05358883)",Not found,56 hab.(INE2012)
1718,Castilla y León,Ávila,"Arenal, El",5013000100,ARENAL (EL),0.99,0.0,1.0,1.0,"(40.264722222222, 5.0872222222222)","En El Arenal, los veranos son cortos, cálidos, bochornosos, secos y mayormente despejados y los inviernos son largos, fríos, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 5 °C a 31 °C y rara vez baja a menos de 1 °C o sube a más de 34 °C.",943 hab.(2021)
1719,Castilla y León,Ávila,Arenas de San Pedro,5014000100,ARENAS DE SAN PEDRO,1.0,1.0,1.0,1.0,"(40.208888888889, 5.0911111111111)","En Arenas de San Pedro, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 33 °C y rara vez baja a menos de -4 °C o sube a más de 37 °C.",6434 hab.(2021)
1720,Castilla y León,Ávila,Arenas de San Pedro,5014000200,HONTANARES,0.0,0.0,1.0,1.0,"(40.142777777778, 4.9822222222222)","En Hontanares de Eresma, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",84 hab.(INE2012)
1721,Castilla y León,Ávila,Arenas de San Pedro,5014000300,PARRA (LA),0.96,0.0,0.99,0.99,"(40.223333333333, 5.0572222222222)","En Parras de la Fuente, los veranos son largos y cálidos; los inviernos son cortos, frescos y secos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 32 °C y rara vez baja a menos de 1 °C o sube a más de 35 °C.",362 hab.(2011)
1722,Castilla y León,Ávila,Arenas de San Pedro,5014000400,RAMACASTAÑAS,1.0,0.0,1.0,1.0,"(40.185277777778, 5.0466666666667)",Not found,358 hab.(INE2012)
1723,Castilla y León,Ávila,Arevalillo,5015000100,AREVALILLO,0.0,0.0,1.0,0.15,"(40.587222222222, 5.3744444444444)","En Arevalillo de Cega, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",67 hab.(2021)
1724,Castilla y León,Ávila,Arévalo,5016000100,ARÉVALO,1.0,1.0,1.0,1.0,"(41.066666666667, 4.7166666666667)","En Arévalo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",7881 hab.(2021)
1725,Castilla y León,Ávila,Aveinte,5017000100,AVEINTE,1.0,0.0,1.0,1.0,"(40.782222222222, 4.8375)","En Aveinte, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",82 hab.(2021)
1726,Castilla y León,Ávila,Avellaneda,5018000100,AVELLANEDA,0.0,0.0,1.0,1.0,"(40.388611111111, 5.3880555555556)","En Avellaneda, los veranos son cortos, cálidos, bochornosos y mojados; los inviernos son frescos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 10 °C a 32 °C y rara vez baja a menos de 3 °C o sube a más de 37 °C.",26 hab.(2021)
1727,Castilla y León,Ávila,Ávila,5019000100,ALAMEDILLA DEL BERROCAL,0.0,0.0,1.0,1.0,"(40.7067, 4.76513)",Not found,74 hab.(2016)
1728,Castilla y León,Ávila,Ávila,5019000200,ALDEA DEL REY NIÑO,1.0,1.0,1.0,1.0,"(40.58598333, 4.74273056)",Not found,262 hab.(INE2020)
1729,Castilla y León,Ávila,Ávila,5019000300,ÁVILA,0.94,0.94,1.0,1.0,"(40.654347222222, 4.6962222222222)","En Ávila, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",57 949 hab.(2021)
1730,Castilla y León,Ávila,Ávila,5019000400,BERNUY-SALINERO,0.0,0.0,1.0,1.0,,Not found,
1731,Castilla y León,Ávila,Ávila,5019000700,NARRILLOS DE SAN LEONARDO,1.0,0.0,1.0,1.0,"(40.695477, 4.724786)",Not found,206 hab.(INE2020)
1732,Castilla y León,Ávila,Ávila,5019000800,URRACA-MIGUEL,0.0,0.0,1.0,0.48,,Not found,
1733,Castilla y León,Ávila,Ávila,5019001000,BRIEVA-VICOLOZANO,1.0,1.0,1.0,1.0,,Not found,
1734,Castilla y León,Ávila,"Barco de Ávila, El",5021000100,BARCO DE ÁVILA (EL),1.0,0.19,1.0,1.0,"(40.359722222222, 5.5236111111111)","En El Barco de Ávila, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",2298 hab.(2021)
