,Comunidad Autónoma,Provincia,Municipio,Código ESP,Entidad Singular de Población,Cobertura ≥ 30Mbps,Cobertura redes fijas ≥ 100Mbps,Cobertura 3G HSPA,Cobertura 4G LTE,Weather_info,pob_tot_muni,partido_gov_x,pob_tot_muni.1,partido_gov_y,population,T_minMedia,T_maxMedia,T_minExtrema,T_maxExtrema,location
0,Castilla y León,Ávila,Adanero,5001000100,ADANERO,0.88,0.0,1.0,1.0,"En Adanero, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1960.0,PSOE,1960,PSOE,196 hab.(2021),-0,30,-5,34,"{'type': 'Point', 'coordinates': [4.6066666666667, 40.945833333333]}"
1,Castilla y León,Ávila,Adanero,5001000200,ESTACIÓN (LA),0.0,0.0,1.0,1.0,"En Estación la Piedad, la temporada de lluvia es nublada, la temporada seca es parcialmente nublada y es caliente durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 7 °C a 32 °C y rara vez baja a menos de 4 °C o sube a más de 35 °C.",1960.0,PSOE,1960,PSOE,,7,32,4,35,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
2,Castilla y León,Ávila,"Adrada, La",5002000100,ADRADA (LA),1.0,0.3,1.0,1.0,"En Sotillo de la Adrada, los veranos son cortos, cálidos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 32 °C y rara vez baja a menos de -4 °C o sube a más de 36 °C.",2757.0,PSOE,2757,PSOE,2757 hab.(2021),0,32,-4,36,"{'type': 'Point', 'coordinates': [4.635, 40.299166666667]}"
3,Castilla y León,Ávila,Albornos,5005000100,ALBORNOS,1.0,0.0,1.0,1.0,"En Albornos, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1720.0,PP,1720,PP,172 hab.(2021),-0,30,-5,34,"{'type': 'Point', 'coordinates': [4.8813888888889, 40.838611111111]}"
4,Castilla y León,Ávila,Aldeanueva de Santa Cruz,5007000100,ALDEANUEVA DE SANTA CRUZ,0.52,0.0,1.0,1.0,"En Aldeanueva de Santa Cruz, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -7 °C o sube a más de 32 °C.",1130.0,PP,1130,PP,113 hab.(2021),-2,28,-7,32,"{'type': 'Point', 'coordinates': [5.4194444444444, 40.381666666667]}"
5,Castilla y León,Ávila,Aldeaseca,5008000100,ALDEASECA,1.0,0.0,1.0,1.0,"En Aldeaseca de la Frontera, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",2190.0,PSOE,2190,PSOE,219 hab.(2021),-1,30,-5,34,"{'type': 'Point', 'coordinates': [4.8175, 41.049444444444]}"
6,Castilla y León,Ávila,"Aldehuela, La",5010000100,ALDEHUELA (LA),1.0,0.0,0.97,0.96,"En Aldehuela de la Bóveda, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1470.0,PP,1470,PP,147 hab.(2021),0,30,-5,34,"{'type': 'Point', 'coordinates': [5.4091666666667, 40.410833333333]}"
7,Castilla y León,Ávila,"Aldehuela, La",5010000200,MOLINOS (LOS),0.0,0.0,1.0,1.0,"En Los Molinos, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 29 °C y rara vez baja a menos de -7 °C o sube a más de 33 °C.",1470.0,PP,1470,PP,,-2,29,-7,33,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
8,Castilla y León,Ávila,"Aldehuela, La",5010000300,NAVAS (LAS),0.0,0.0,0.91,0.99,"En Las Navas del Marqués, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 28 °C y rara vez baja a menos de -7 °C o sube a más de 32 °C.",1470.0,PP,1470,PP,,-3,28,-7,32,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
9,Castilla y León,Ávila,"Aldehuela, La",5010000400,REHOYO (EL),0.0,0.0,1.0,0.99,"En El Recodo, la temporada de lluvia es tórrida, opresiva y parcialmente nublada y la temporada seca es caliente y mayormente despejada. Durante el transcurso del año, la temperatura generalmente varía de 10 °C a 36 °C y rara vez baja a menos de 7 °C o sube a más de 39 °C.",1470.0,PP,1470,PP,,10,36,7,39,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
